id,市区町村,都道府県,面積(km2),経度,緯度
8030,石岡市,茨城県,215.98,140.21796,36.22768
8031,神栖市,茨城県,147.54,140.71245,35.84984
8032,稲敷市,茨城県,194.29,140.36903,35.94558
8033,笠間市,茨城県,240.38,140.26933,36.35653
8034,筑西市,茨城県,205.08,139.98697,36.28945
8035,結城市,茨城県,65.72,139.8641,36.26129
8036,Miho,茨城県,82.64,140.34505,36.01882
8037,東茨城郡茨城町,茨城県,121.68,140.43391,36.28046
8038,Namekata,茨城県,217.71,140.47171,36.06527
8039,那珂市,茨城県,98.11,140.47586,36.46828
8040,鉾田市,茨城県,208.59,140.52001,36.17335
8041,稲敷郡阿見町,茨城県,70.54,140.22504,36.01369
8042,高萩市,茨城県,193.92,140.62098,36.76921
8043,鹿嶋市,茨城県,103.69,140.62234,36.00012
8044,龍ヶ崎市,茨城県,78.62,140.18526,35.92252
9001,小山市,栃木県,171.97,139.80192,36.30805
9002,下野市,栃木県,74.54,139.8612,36.40199
9003,真岡市,栃木県,167.58,139.99683,36.42488
9004,河内郡上三川町,栃木県,54.45,139.91061,36.44553
9005,塩谷郡高根沢町,栃木県,70.74,140.01689,36.6302
9006,日光市,栃木県,1449.66,139.58121,36.81881
9007,那須塩原市,栃木県,592.89,139.91039,36.99085
9008,那須郡那須町,栃木県,372.14,140.09257,37.04283
9009,さくら市,栃木県,125.44,140.00304,36.72367
9010,宇都宮市,栃木県,417.08,139.88667,36.59687
9011,芳賀郡益子町,栃木県,89.56,140.10995,36.46043
9012,塩谷郡塩谷町,栃木県,175.47,139.81509,36.79651
9013,佐野市,栃木県,355.66,139.53549,36.42388
9014,芳賀郡市貝町,栃木県,64.22,140.10431,36.55893
9015,鹿沼市,栃木県,490.12,139.64147,36.5755
9016,下都賀郡壬生町,栃木県,61.08,139.80494,36.45755
9017,足利市,栃木県,177.61,139.45305,36.35935
9018,大田原市,栃木県,354.1,140.1192,36.86138
9019,栃木市,栃木県,331.24,139.68944,36.37306
9020,那須郡那珂川町,栃木県,192.83,140.18345,36.75419
9021,那須烏山市,栃木県,173.89,140.13405,36.66273
9022,芳賀郡芳賀町,栃木県,70.04,140.04077,36.55229
9023,芳賀郡茂木町,栃木県,172.35,140.18995,36.52175
9024,下都賀郡野木町,栃木県,30.26,139.73778,36.22887
9025,矢板市,栃木県,170.55,139.89814,36.8273
10001,邑楽郡邑楽町,群馬県,31.22,139.46119,36.25515
10002,Kamikawa,群馬県,47.58,139.05756,36.16072
10003,邑楽郡明和町,群馬県,19.69,139.5344,36.20691
10004,みどり市,群馬県,208.54,139.34732,36.53038
10005,桐生市,群馬県,274.59,139.24805,36.51518
10006,伊勢崎市,群馬県,139.46,139.21823,36.3212
10007,佐波郡玉村町,群馬県,25.83,139.12608,36.30226
10008,藤岡市,群馬県,180.14,138.99911,36.19212
10009,高崎市,群馬県,458.41,138.89918,36.3769
10010,多野郡上野村,群馬県,181.86,138.72004,36.06528
10011,多野郡神流町,群馬県,114.54,138.86559,36.11174
10012,太田市,群馬県,175.33,139.33943,36.30652
10013,安中市,群馬県,276.37,138.77643,36.34075
10014,Shimonita Town,群馬県,188.19,138.72277,36.22702
10015,渋川市,群馬県,239.81,139.01441,36.52919
10016,前橋市,群馬県,311.61,139.12756,36.43226
10017,沼田市,群馬県,507.73,139.17307,36.66611
10018,富岡市,群馬県,123.1,138.84608,36.25843
10019,吾妻郡草津町,群馬県,53.26,138.5714,36.61936
10020,館林市,群馬県,60.89,139.53535,36.24604
10021,邑楽郡板倉町,群馬県,42.05,139.62004,36.22881
10022,利根郡片品村,群馬県,391.58,139.26075,36.84168
10023,吾妻郡嬬恋村,群馬県,334.12,138.4935,36.51503
10024,吾妻郡長野原町,群馬県,133.75,138.62606,36.50505
10025,吾妻郡中之条町,群馬県,438.97,138.72199,36.65449
10026,吾妻郡東吾妻町,群馬県,253.59,138.78516,36.5264
10027,Takayama,群馬県,64.14,138.94178,36.62192
10028,北群馬郡吉岡町,群馬県,20.55,138.9986,36.44971
10029,北群馬郡榛東村,群馬県,28.88,138.95382,36.44458
10030,甘楽郡南牧村,群馬県,118.62,138.68561,36.16171
10031,甘楽郡甘楽町,群馬県,58.27,138.90329,36.20995
10032,利根郡みなかみ町,群馬県,780.64,139.00494,36.83235
10033,利根郡川場村,群馬県,85.11,139.12931,36.73098
10034,邑楽郡千代田町,群馬県,21.76,139.45016,36.21307
10035,邑楽郡大泉町,群馬県,17.92,139.40699,36.24974
11001,秩父市,埼玉県,577.39,138.93349,35.95967
11002,,埼玉県,171.45,138.92911,36.02158
11003,Saitama,埼玉県,217.63,139.65476,35.90766
11004,,埼玉県,49.46,139.12902,35.96886
11005,飯能市,埼玉県,192.7,139.22023,35.88817
11006,入間市,埼玉県,44.95,139.3674,35.81799
11007,所沢市,埼玉県,71.99,139.45789,35.79936
11008,新座市,埼玉県,22.72,139.55965,35.78938
11009,日高市,埼玉県,47.39,139.33918,35.89651
11010,,埼玉県,34.06,139.30741,35.935
11011,狭山市,埼玉県,49.01,139.42075,35.8588
11012,,埼玉県,40.63,139.26619,35.96066
11013,和光市,埼玉県,11.01,139.61972,35.78931
11014,戸田市,埼玉県,18.28,139.6571,35.81468
11015,朝霞市,埼玉県,18.31,139.59727,35.80918
11016,蕨市,埼玉県,4.99,139.68609,35.82429
11017,三郷市,埼玉県,29.96,139.87196,35.83225
11018,八潮市,埼玉県,18.18,139.83937,35.81954
11019,川口市,埼玉県,61.92,139.73308,35.83326
11020,草加市,埼玉県,27.37,139.80226,35.83868
11021,吉川市,埼玉県,31.85,139.86084,35.89524
11022,春日部市,埼玉県,66.09,139.77567,35.98262
11023,,埼玉県,16.29,139.82551,35.93662
11024,越谷市,埼玉県,59.93,139.79014,35.90095
11025,加須市,埼玉県,133.78,139.62008,36.13669
11026,久喜市,埼玉県,82.03,139.64938,36.07706
11027,入間郡三芳町,埼玉県,15.35,139.51585,35.83279
11028,,埼玉県,15.94,139.71624,36.02289
11029,幸手市,埼玉県,33.9,139.74011,36.07079
11030,,埼玉県,29.93,139.75464,36.03402
11031,羽生市,埼玉県,58.34,139.55303,36.17239
11032,ふじみ野市,埼玉県,14.71,139.51526,35.86497
11033,富士見市,埼玉県,19.64,139.55448,35.85454
11034,川越市,埼玉県,109.13,139.47907,35.91138
11035,志木市,埼玉県,9.08,139.58334,35.83676
11036,鶴ヶ島市,埼玉県,17.63,139.39439,35.93578
11037,上尾市,埼玉県,45.24,139.5815,35.97047
11038,,埼玉県,14.81,139.61998,35.99779
11039,比企郡吉見町,埼玉県,38.72,139.45544,36.04423
11040,Sakado,埼玉県,40.88,139.40047,35.96362
11041,,埼玉県,41.57,139.48422,35.98382
11042,東松山市,埼玉県,65.53,139.39159,36.03194
11043,桶川市,埼玉県,25.48,139.55001,36.003
11044,蓮田市,埼玉県,27.31,139.64964,36.00151
11045,行田市,埼玉県,67.48,139.46995,36.14796
11046,鴻巣市,埼玉県,67.14,139.50338,36.07891
11047,,埼玉県,55.82,139.24113,35.99888
11048,,埼玉県,30.02,139.31474,36.05622
11049,,埼玉県,29.73,139.35575,36.07021
11050,熊谷市,埼玉県,159.94,139.3725,36.16025
11051,,埼玉県,25.7,139.33394,35.98777
11052,Kamisato,埼玉県,29.26,139.13498,36.2507
11053,,埼玉県,63.93,139.20276,36.11119
11054,,埼玉県,60.4,139.24871,36.05483
11055,本庄市,埼玉県,89.91,139.14624,36.19926
11056,,埼玉県,36.82,139.18232,36.04614
11057,,埼玉県,63.72,139.09101,36.07846
11058,,埼玉県,33.23,139.17376,36.17154
11059,,埼玉県,30.41,139.11699,36.11764
11060,,埼玉県,0.17,139.54425,35.93499
11061,白岡市,埼玉県,25.07,139.66755,36.02417
11062,北本市,埼玉県,19.78,139.53048,36.0262
11063,深谷市,埼玉県,138.77,139.26562,36.18078
12001,いすみ市,千葉県,157.6,140.34338,35.27779
12002,長生郡一宮町,千葉県,23.23,140.37111,35.36145
12003,山武郡九十九里町,千葉県,24.46,140.43423,35.53333
12004,佐倉市,千葉県,103.39,140.21308,35.70621
12005,八千代市,千葉県,51.39,140.10502,35.73925
12006,八街市,千葉県,75.43,140.29692,35.64259
12007,勝浦市,千葉県,94.17,140.26762,35.17512
12008,匝瑳市,千葉県,101.7,140.55372,35.69984
12009,南房総市,千葉県,230.29,139.92851,35.03668
12010,印西市,千葉県,123.81,140.18031,35.79806
12011,君津市,千葉県,318.76,140.0242,35.26295
12012,四街道市,千葉県,34.79,140.17899,35.67177
12013,香取郡多古町,千葉県,72.93,140.47103,35.7571
12014,夷隅郡大多喜町,千葉県,129.92,140.21388,35.24312
12015,大網白里市,千葉県,58.16,140.34316,35.51262
12016,富津市,千葉県,206.0,139.90055,35.22594
12017,富里市,千葉県,53.87,140.34077,35.72029
12018,Sanmu,千葉県,146.76,140.4212,35.62386
12019,市原市,千葉県,367.62,140.13721,35.42481
12020,市川市,千葉県,57.05,139.93293,35.71892
12021,夷隅郡御宿町,千葉県,24.85,140.34068,35.19647
12022,成田市,千葉県,214.05,140.35757,35.81538
12023,我孫子市,千葉県,43.27,140.06489,35.86947
12024,?????,千葉県,0.11,139.96436,35.67153
12025,旭市,千葉県,130.16,140.65573,35.73419
12026,木更津市,千葉県,138.93,139.9875,35.36984
12027,香取郡東庄町,千葉県,45.96,140.67299,35.81354
12028,東金市,千葉県,89.23,140.36695,35.5652
12029,松戸市,千葉県,61.38,139.92894,35.79567
12030,柏市,千葉県,115.17,139.99386,35.86007
12031,印旛郡栄町,千葉県,32.51,140.24307,35.84413
12032,山武郡横芝光町,千葉県,66.93,140.49459,35.66098
12033,流山市,千葉県,35.15,139.914,35.8734
12034,浦安市,千葉県,19.21,139.90149,35.64271
12035,Shiroi,千葉県,35.09,140.06017,35.80164
12036,長生郡白子町,千葉県,27.6,140.37953,35.44992
12037,長生郡睦沢町,千葉県,35.59,140.30207,35.35254
12038,Kozaki,千葉県,19.81,140.4086,35.88606
12039,習志野市,千葉県,20.7,140.03408,35.68085
12040,船橋市,千葉県,86.28,140.01988,35.72678
12041,山武郡芝山町,千葉県,42.88,140.41017,35.7215
12042,茂原市,千葉県,100.21,140.30182,35.44984
12043,袖ヶ浦市,千葉県,94.62,140.01776,35.41642
12044,Shisui,千葉県,19.02,140.27805,35.72909
12045,野田市,千葉県,103.8,139.862,35.98549
12046,銚子市,千葉県,84.1,140.77568,35.74294
12047,安房郡鋸南町,千葉県,45.0,139.87191,35.13258
12048,Kamagaya,千葉県,20.96,139.99848,35.77174
12049,長生郡長南町,千葉県,65.36,140.24306,35.37528
12050,Nagara,千葉県,47.0,140.21349,35.44591
12051,長生郡長生村,千葉県,28.24,140.35812,35.40696
12052,館山市,千葉県,110.56,139.86158,34.97158
12053,香取市,千葉県,262.25,140.54007,35.85337
12054,鴨川市,千葉県,191.06,140.0779,35.12986
12055,Chiba,千葉県,271.7,140.167,35.60349
13001,杉並区,東京都,34.26,139.62546,35.69669
13002,中野区,東京都,15.49,139.66238,35.71101
13003,新宿区,東京都,18.5,139.70881,35.70119
13004,文京区,東京都,11.36,139.74734,35.71728
13005,台東区,東京都,10.01,139.78587,35.7154
13006,墨田区,東京都,13.8,139.81564,35.71218
13007,中央区,東京都,10.71,139.77697,35.67001
13008,目黒区,東京都,14.63,139.68836,35.62981
13009,大田区,東京都,62.17,139.73342,35.56672
13010,世田谷区,東京都,57.68,139.63512,35.63981
13011,狛江市,東京都,6.44,139.57729,35.63466
13012,渋谷区,東京都,14.92,139.69613,35.66786
13013,Toshima,東京都,13.16,139.71184,35.73183
13014,北区,東京都,20.51,139.72899,35.76603
13015,荒川区,東京都,10.44,139.78152,35.74
13016,板橋区,東京都,32.13,139.67635,35.77268
13017,練馬区,東京都,48.06,139.61765,35.74788
13018,足立区,東京都,53.07,139.79511,35.77894
13019,港区,東京都,21.14,139.73842,35.65227
13020,葛飾区,東京都,34.77,139.85563,35.75333
13021,千代田区,東京都,11.23,139.75465,35.68752
13022,江戸川区,東京都,49.02,139.87547,35.69236
13023,立川市,東京都,24.25,139.40439,35.71455
13024,武蔵野市,東京都,10.98,139.56159,35.70816
13025,三鷹市,東京都,16.59,139.56036,35.68464
13026,青梅市,東京都,103.29,139.24179,35.80362
13027,江東区,東京都,47.07,139.81616,35.66515
13028,品川区,東京都,23.59,139.73336,35.60952
13029,大島町,東京都,90.63,139.39881,34.73748
13030,Toshima,東京都,4.01,139.27932,34.52252
13031,新島村,東京都,27.06,139.26679,34.37699
13032,神津島村,東京都,18.42,139.14775,34.21435
13033,Mikurajima,東京都,20.48,139.60322,33.87483
13034,三宅村,東京都,55.39,139.52115,34.0849
13035,稲城市,東京都,17.82,139.49289,35.63267
13036,小笠原村,東京都,100.62,142.20934,27.07029
13037,町田市,東京都,71.72,139.42999,35.57619
13038,西多摩郡奥多摩町,東京都,225.53,139.05548,35.82265
13039,あきる野市,東京都,72.96,139.22511,35.7329
13040,西多摩郡日の出町,東京都,28.1,139.22655,35.75859
13041,Hinohara,東京都,105.54,139.10456,35.72507
13042,羽村市,東京都,9.85,139.31537,35.76398
13043,八王子市,東京都,186.35,139.28754,35.65994
13044,Akishima,東京都,17.27,139.36422,35.70787
13045,武蔵村山市,東京都,15.17,139.3839,35.75033
13046,西多摩郡瑞穂町,東京都,16.91,139.34942,35.77409
13047,福生市,東京都,10.39,139.33614,35.73578
13048,多摩市,東京都,21.14,139.43978,35.63056
13049,日野市,東京都,27.39,139.39866,35.66331
13050,国分寺市,東京都,11.44,139.46125,35.70554
13051,Kunitachi,東京都,8.39,139.43872,35.68643
13052,小平市,東京都,20.44,139.48134,35.72734
13053,東大和市,東京都,13.35,139.42657,35.75033
13054,東村山市,東京都,17.13,139.47249,35.75919
13055,小金井市,東京都,11.31,139.51104,35.70127
13056,府中市,東京都,29.62,139.48325,35.67036
13057,東久留米市,東京都,13.07,139.5198,35.75376
13058,清瀬市,東京都,10.15,139.52227,35.78147
13059,西東京市,東京都,15.66,139.54625,35.73483
13060,調布市,東京都,21.52,139.55223,35.65748
13061,八丈町,東京都,72.42,139.79788,33.10638
13062,青ヶ島村,東京都,5.88,139.76643,32.45738
14001,三浦市,神奈川県,31.48,139.64152,35.16826
14002,足柄上郡中井町,神奈川県,19.89,139.21535,35.33608
14003,中郡二宮町,神奈川県,9.06,139.24972,35.30772
14004,伊勢原市,神奈川県,55.64,139.29193,35.41014
14005,南足柄市,神奈川県,77.18,139.07023,35.30994
14006,厚木市,神奈川県,93.74,139.32704,35.46519
14007,足柄上郡大井町,神奈川県,14.3,139.16554,35.33503
14008,大和市,神奈川県,27.11,139.45642,35.47371
14009,中郡大磯町,神奈川県,17.25,139.2887,35.31671
14010,高座郡寒川町,神奈川県,13.25,139.38557,35.37569
14011,小田原市,神奈川県,113.71,139.14406,35.26292
14012,Yamakita,神奈川県,224.54,139.04547,35.4248
14013,平塚市,神奈川県,67.87,139.32007,35.35098
14014,座間市,神奈川県,17.54,139.40909,35.48749
14015,愛甲郡愛川町,神奈川県,34.35,139.29902,35.52893
14016,足柄上郡松田町,神奈川県,37.82,139.13081,35.39207
14017,横須賀市,神奈川県,100.25,139.66049,35.24929
14018,海老名市,神奈川県,26.66,139.39309,35.43768
14019,愛甲郡清川村,神奈川県,71.26,139.2289,35.48707
14020,足柄下郡湯河原町,神奈川県,41.08,139.07905,35.16614
14021,Manazuru,神奈川県,7.01,139.13345,35.16566
14022,秦野市,神奈川県,103.72,139.20299,35.40016
14023,足柄下郡箱根町,神奈川県,92.8,139.03134,35.2323
14024,綾瀬市,神奈川県,21.95,139.43096,35.44013
14025,Chigasaki,神奈川県,35.98,139.40959,35.34425
14026,三浦郡葉山町,神奈川県,16.92,139.60049,35.27125
14027,藤沢市,神奈川県,69.05,139.45878,35.36853
14028,逗子市,神奈川県,17.28,139.59145,35.29899
14029,鎌倉市,神奈川県,39.58,139.53785,35.32991
14030,足柄上郡開成町,神奈川県,6.54,139.12509,35.33492
14031,Kawasaki,神奈川県,149.04,139.63092,35.56731
14032,Sagamihara,神奈川県,328.6,139.23947,35.56435
14033,Yokohama,神奈川県,436.8,139.57591,35.46056
15001,南魚沼郡湯沢町,新潟県,354.91,138.80071,36.85573
15002,西蒲原郡弥彦村,新潟県,25.24,138.83745,37.69079
15003,燕市,新潟県,110.96,138.88628,37.66542
15004,村上市,新潟県,1170.28,139.61737,38.31031
15005,Sekikawa,新潟県,299.27,139.60114,38.06442
15006,胎内市,新潟県,265.42,139.48046,38.00584
15007,新発田市,新潟県,532.83,139.4279,37.90736
15008,東蒲原郡阿賀町,新潟県,952.06,139.46405,37.66506
15009,魚沼市,新潟県,946.64,139.09789,37.22093
15010,阿賀野市,新潟県,194.75,139.25909,37.81425
15011,Niigata,新潟県,725.33,139.03514,37.82741
15012,北蒲原郡聖籠町,新潟県,37.58,139.26629,37.98367
15013,五泉市,新潟県,349.95,139.22634,37.65641
15014,南蒲原郡田上町,新潟県,31.63,139.07042,37.70118
15015,加茂市,新潟県,133.59,139.11046,37.62222
15016,三条市,新潟県,431.54,139.0898,37.5407
15017,長岡市,新潟県,890.09,138.8568,37.44516
15018,見附市,新潟県,78.0,138.93183,37.52793
15019,小千谷市,新潟県,155.21,138.80044,37.29129
15020,十日町市,新潟県,592.68,138.70206,37.09085
15021,柏崎市,新潟県,441.98,138.60044,37.32816
15022,刈羽郡刈羽村,新潟県,26.17,138.6267,37.42417
15023,三島郡出雲崎町,新潟県,44.49,138.71466,37.52666
15024,南魚沼市,新潟県,584.04,138.93736,37.05589
15025,上越市,新潟県,973.52,138.3375,37.12015
15026,中魚沼郡津南町,新潟県,170.24,138.64183,36.97089
15027,妙高市,新潟県,445.45,138.18755,36.93224
15028,糸魚川市,新潟県,746.07,137.89401,36.96628
15029,佐渡市,新潟県,854.61,138.38985,38.04427
15030,岩船郡粟島浦村,新潟県,9.57,139.24073,38.46252
16001,滑川市,富山県,54.84,137.38216,36.7519
16002,Uodu,富山県,200.67,137.49146,36.75986
16003,高岡市,富山県,209.56,136.96645,36.74005
16004,黒部市,富山県,433.97,137.61628,36.76884
16005,射水市,富山県,108.24,137.08765,36.72015
16006,Funahashi,富山県,3.48,137.30663,36.70117
16007,小矢部市,富山県,133.96,136.85474,36.66237
16008,中新川郡上市町,富山県,236.62,137.47658,36.66056
16009,下新川郡朝日町,富山県,221.2,137.65028,36.89231
16010,砺波市,富山県,127.16,136.99059,36.61877
16011,南砺市,富山県,668.29,136.91956,36.45324
16012,下新川郡入善町,富山県,70.75,137.51216,36.91199
16013,氷見市,富山県,230.52,136.94286,36.86494
16014,富山市,富山県,1240.81,137.29939,36.54655
16015,中新川郡立山町,富山県,311.19,137.51181,36.60164
17001,かほく市,石川県,64.71,136.73285,36.74382
17002,羽咋市,石川県,81.86,136.81625,36.91128
17003,加賀市,石川県,305.91,136.37959,36.25505
17004,金沢市,石川県,468.23,136.70829,36.51924
17005,鳳珠郡穴水町,石川県,182.99,136.93609,37.23528
17006,Shika,石川県,246.64,136.77154,37.089
17007,七尾市,石川県,317.85,136.91922,37.06952
17008,珠洲市,石川県,247.24,137.22583,37.45528
17009,小松市,石川県,371.43,136.49838,36.3111
17010,能美郡川北町,石川県,14.47,136.53651,36.46913
17011,鹿島郡中能登町,石川県,89.14,136.89748,36.97103
17012,河北郡津幡町,石川県,110.49,136.76872,36.69275
17013,河北郡内灘町,石川県,20.67,136.65735,36.66436
17014,鳳珠郡能登町,石川県,273.03,137.09525,37.33009
17015,能美市,石川県,84.11,136.54435,36.43596
17016,白山市,石川県,755.03,136.66965,36.27562
17017,羽咋郡宝達志水町,石川県,111.81,136.80366,36.82606
17018,野々市市,石川県,13.57,136.60546,36.52515
17019,Wajima,石川県,425.58,136.88762,37.3367
18001,あわら市,福井県,117.06,136.25163,36.22776
18002,大飯郡おおい町,福井県,212.01,135.63295,35.40683
18003,吉田郡永平寺町,福井県,94.55,136.35499,36.07796
18004,Echizen,福井県,230.9,136.17716,35.88947
18005,越前市,福井県,152.72,136.05642,35.95911
18006,大飯郡高浜町,福井県,72.35,135.51554,35.49194
18007,坂井市,福井県,209.2,136.25547,36.16402
18008,鯖江市,福井県,84.66,136.21834,35.9594
18009,三方上中郡若狭町,福井県,178.53,135.88081,35.51181
18010,勝山市,福井県,253.65,136.52174,36.08442
18011,小浜市,福井県,232.94,135.74808,35.46869
18012,大野市,福井県,872.57,136.61699,35.90841
18013,今立郡池田町,福井県,194.67,136.36811,35.86846
18014,敦賀市,福井県,250.62,136.08068,35.63728
18015,南条郡南越前町,福井県,343.97,136.21327,35.77206
18016,三方郡美浜町,福井県,152.54,135.97453,35.59702
18017,福井市,福井県,535.79,136.21819,36.04243
19001,甲州市,山梨県,263.76,138.79189,35.72654
19002,甲斐市,山梨県,72.11,138.51842,35.71704
19003,甲府市,山梨県,212.27,138.58773,35.69726
19004,南都留郡山中湖村,山梨県,52.93,138.87754,35.42306
19005,山梨市,山梨県,290.07,138.6975,35.79691
19006,西八代郡市川三郷町,山梨県,75.15,138.51318,35.53245
19007,北都留郡小菅村,山梨県,52.66,138.94255,35.74771
19008,中巨摩郡昭和町,山梨県,9.01,138.53337,35.62806
19009,上野原市,山梨県,170.83,139.06363,35.63439
19010,南巨摩郡身延町,山梨県,303.51,138.46815,35.41531
19011,南都留郡西桂町,山梨県,15.35,138.83578,35.53088
19012,南巨摩郡早川町,山梨県,369.9,138.30952,35.4671
19013,大月市,山梨県,279.82,138.9199,35.64289
19014,北都留郡丹波山村,山梨県,101.32,138.90588,35.80142
19015,中央市,山梨県,32.01,138.5412,35.58428
19016,Fuefuki,山梨県,202.13,138.68068,35.59964
19017,都留市,山梨県,161.7,138.91487,35.53664
19018,南都留郡道志村,山梨県,79.92,139.01296,35.5059
19019,南アルプス市,山梨県,263.94,138.35408,35.65064
19020,南巨摩郡南部町,山梨県,201.05,138.46182,35.25938
19021,韮崎市,山梨県,143.63,138.41197,35.71772
19022,南都留郡忍野村,山梨県,24.92,138.85599,35.4596
19023,南都留郡富士河口湖町,山梨県,161.1,138.68783,35.4871
19024,?????,山梨県,125.31,138.79379,35.43918
19025,Fujikawa,山梨県,112.08,138.40267,35.54331
19026,北杜市,山梨県,602.46,138.39376,35.83719
19027,南都留郡鳴沢村,山梨県,91.03,138.69829,35.42773
20001,Minamimaki-Mura,長野県,132.93,138.45833,35.98408
20002,北佐久郡軽井沢町,長野県,156.2,138.58936,36.3569
20003,北佐久郡御代田町,長野県,58.7,138.51304,36.33425
20004,小諸市,長野県,98.54,138.43496,36.33907
20005,東御市,長野県,112.28,138.36867,36.37403
20006,上田市,長野県,552.24,138.24188,36.38361
20007,南佐久郡佐久穂町,長野県,188.96,138.47442,36.12241
20008,南佐久郡川上村,長野県,209.46,138.61857,35.94169
20009,Koumi,長野県,113.41,138.45909,36.0686
20010,南佐久郡北相木村,長野県,56.37,138.58996,36.06235
20011,南佐久郡南相木村,長野県,66.16,138.58586,36.0185
20012,佐久市,長野県,423.58,138.44524,36.21588
20013,北佐久郡立科町,長野県,66.78,138.29506,36.21134
20014,須坂市,長野県,149.36,138.34872,36.61008
20015,長野市,長野県,834.61,138.10182,36.64407
20016,松本市,長野県,978.14,137.81415,36.20154
20017,岡谷市,長野県,84.28,138.04814,36.07923
20018,飯田市,長野県,658.74,137.91357,35.43974
20019,諏訪市,長野県,109.58,138.11349,36.02889
20020,下伊那郡阿智村,長野県,214.51,137.68638,35.44259
20021,下伊那郡阿南町,長野県,123.35,137.764,35.31719
20022,Adumino,長野県,331.65,137.84016,36.32796
20023,伊那市,長野県,667.38,138.07398,35.79077
20024,下水内郡栄村,長野県,272.61,138.5865,36.88034
20025,塩尻市,長野県,290.69,137.90032,36.03814
20026,木曽郡王滝村,長野県,310.7,137.47503,35.81433
20027,Shimosuwa-Machi,長野県,66.95,138.11258,36.11056
20028,下伊那郡下條村,長野県,37.85,137.77514,35.39144
20029,茅野市,長野県,267.11,138.24656,36.02525
20030,Miyada,長野県,51.4,137.88041,35.77364
20031,Takagi,長野県,66.97,137.92678,35.48074
20032,駒ヶ根市,長野県,169.03,137.94764,35.72782
20033,諏訪郡原村,長野県,43.32,138.25707,35.96384
20034,Takayama,長野県,98.44,138.42326,36.66229
20035,下伊那郡高森町,長野県,45.27,137.85888,35.57363
20036,下伊那郡根羽村,長野県,89.76,137.6041,35.25617
20037,埴科郡坂城町,長野県,53.32,138.19398,36.45277
20038,Yamanouchi,長野県,266.03,138.51063,36.75134
20039,東筑摩郡山形村,長野県,24.82,137.86204,36.16078
20040,上水内郡小川村,長野県,58.0,137.95962,36.63426
20041,Otari,長野県,267.79,137.91571,36.82579
20042,上高井郡小布施町,長野県,19.02,138.31585,36.70263
20043,Matsukawa,長野県,46.78,137.82618,36.41351
20044,下伊那郡松川町,長野県,72.7,137.90885,35.60548
